"","0.1","0.3","0.5"
"MiceTreatLower",-0.786300171164273,-0.557176726102063,-0.494215053931259
"MiceTreatUpper",0.264902343294809,-0.500576964081248,0.345831897575393
"MiceBpLower",-0.356174750692087,0.0856243355701733,-0.1081447505786
"MiceBpUpper",0.290910137590286,0.355320715300287,0.323683609435998
"oracleTreatLower",-0.679659050868044,-0.986592088299199,-0.307932791894093
"oracleTreatUpper",0.183576275492061,-0.287755257690339,0.401241287030843
"oracleBpLower",-0.262747647515079,0.145602095946349,-0.123395637194734
"oracleBpUpper",0.203217434821429,0.228061378154394,0.123163468366658
"complete.caseTreatLower",-0.619704886379042,-1.35893906072682,-0.700291737295034
"complete.caseTreatUpper",0.260404121816095,-0.517901525054485,0.0166089244219811
"complete.caseBpLower",-0.339768232694907,0.326322754842625,-0.261890760164763
"complete.caseBpUpper",0.258988243128879,0.333125771742979,0.466160289495044
"daetreatLower",-0.710952644348142,-0.461679431577318,-0.182991132090882
"daetreatUpper",0.191501474982884,-0.40666835909437,0.397131812591478
"daeBpLower",0.317545515166847,0.1570424436524,0.57208834987924
"daeBpUpper",0.533355652962632,0.728947700820969,0.576361358691853
