"","MCAR0.1","MCAR0.3","MCAR0.5"
"MiceTreat",-0.186328470521515,0.40948018435737,-0.3373787125386
"MiceBp",-0.24852317252938,-0.235047378556406,0.0392962316398985
"oracleTreat",-0.176324883805817,0.540749077979886,-0.39689164345823
"oracleBp",-0.251466212568067,-0.379995148031827,0.0188959430142798
"complete.caseTreat",-0.033960071703556,0.553718793350191,-0.127770984040397
"complete.caseBp",-0.232145468735183,-0.0347438393331598,0.162414761759445
"daetreat",-0.255802223027562,0.434847318923419,-0.368740900392239
"daeBp",-0.246994543061801,0.37306551856469,0.160740955277781
